Symbol,Name,Sector
CARD3.SA,CSU Cardsystem, Financials
SHUL4.SA,Shulz,Industrial
RAIL3.SA,Rumo,Ferrovia
B3SA3.SA,B3,Finanças
PETR4.SA,Petrobras,Óleo e Gás
VALE3.SA,VALE,Mineração
MMM,3M Company,Industrials
AOS,A.O. Smith Corp,Industrials
ABT,Abbott Laboratories,Health Care
ABBV,AbbVie Inc.,Health Care
ACN,Accenture plc,Information Technology
ATVI,Activision Blizzard,Information Technology
AYI,Acuity Brands Inc,Industrials
ADBE,Adobe Systems Inc,Information Technology
AAP,Advance Auto Parts,Consumer Discretionary
AMD,Advanced Micro Devices Inc,Information Technology
AES,AES Corp,Utilities
AET,Aetna Inc,Health Care
AMG,Affiliated Managers Group Inc,Financials
AFL,AFLAC Inc,Financials
A,Agilent Technologies Inc,Health Care
APD,Air Products & Chemicals Inc,Materials
AKAM,Akamai Technologies Inc,Information Technology
ALK,Alaska Air Group Inc,Industrials
ALB,Albemarle Corp,Materials
ARE,Alexandria Real Estate Equities Inc,Real Estate
ALXN,Alexion Pharmaceuticals,Health Care
ALGN,Align Technology,Health Care
ALLE,Allegion,Industrials
AGN,"Allergan, Plc",Health Care
ADS,Alliance Data Systems,Information Technology
LNT,Alliant Energy Corp,Utilities
ALL,Allstate Corp,Financials
GOOGL,Alphabet Inc Class A,Information Technology
GOOG,Alphabet Inc Class C,Information Technology
MO,Altria Group Inc,Consumer Staples
AMZN,Amazon.com Inc.,Consumer Discretionary
AEE,Ameren Corp,Utilities
AAL,American Airlines Group,Industrials
AEP,American Electric Power,Utilities
AXP,American Express Co,Financials
AIG,"American International Group, Inc.",Financials
AMT,American Tower Corp A,Real Estate
AWK,American Water Works Company Inc,Utilities
AMP,Ameriprise Financial,Financials
ABC,AmerisourceBergen Corp,Health Care
AME,AMETEK Inc.,Industrials
AMGN,Amgen Inc.,Health Care
APH,Amphenol Corp,Information Technology
APC,Anadarko Petroleum Corp,Energy
ANDV,Andeavor,Energy
BHGE,"Baker Hughes, a GE Company",Energy
COP,ConocoPhillips,Energy
